size;avg_ms;workers
800;937,271;4
1600;17276,895;4
2400;72998,440;4
800;830,387;8
1600;10475,874;8
2400;62318,538;8
1600;9422,132;8
800;712,706;8
800;714,550;8
800;936,145;4
