MatrixSize,Run1_ms,Run2_ms,Run3_ms,Run4_ms,Run5_ms,Average_ms
500,239,138,147,127,159,162,00
1000,2712,3152,2567,2665,3135,2846,20
1500,11982,13296,11901,12498,14034,12742,20
2000,36691,36805,34248,35291,34888,35584,60
2500,75941,74767,74647,76129,72017,74700,20
3000,132543,152476,141949,140848,144206,142404,40
3500,247517,239767,236223,240143,242702,241270,40
4000,387029,372674,379119,406363,367120,382461,00
