MatrixSize;Run1_ms;Run2_ms;Run3_ms;Run4_ms;Run5_ms;Average_ms
500;197;116;95;104;113;125,00
1000;1695;1573;1633;1486;1490;1575,40
1500;7273;7002;6958;6925;7401;7111,80
2000;20004;20715;19615;20290;20571;20239,00
2500;42605;43476;42524;43594;43013;43042,40
3000;79477;79662;80088;77150;78117;78898,80
3500;141284;133922;137600;137974;136262;137408,40
4000;217658;214273;213779;217660;213985;215471,00
